X,Y,name,type,group,county,note,website,address,point_x,point_y,source,link_id,cms_link,filename
-122.48190511942552,37.832485575449127,"Parking Lot, Dillingham Commuter Lot",Parking Lot,Fort Baker,Marin,,,,-122.48190511900,37.83248557540,from O:\gis_projects\_Parkwide\park_locations_2011\NAD83_UTM10\GGNRAParking_pts_201111.shp,0,426,ParkingL426.html
-122.538843504923634,37.832509194343977,"""Surfer"" Parking Lot, Rodeo Beach",Parking Lot,Fort Cronkhite,Marin,Look for the gate located approximately 3/4 of a mile down Muir woods Rd.,"http://cbk0.google.com/cbk?output=thumbnail&amp;w=90&amp;h=68&amp;ll=37.893262,-122.564560&amp;thumb=0",,-122.53884350500,37.83250919430,from O:\gis_projects\_Parkwide\park_locations_2011\NAD83_UTM10\GGNRAParking_pts_201111.shp,63,427,SurferPa427.html
-122.542900000434543,37.832516000413207,Scotty's Bluff,Site of Interest,Rodeo Lagoon/Valley,Marin,,,,-122.54290000000,37.83251600040,2011 Junior Rangers,196,428,ScottysB428.html
-122.473471312351052,37.832547984801742,Parking,Parking Lot,Fort Baker,Marin,,,,-122.47347131200,37.83254798480,"from M. Norelli, 2/15/2012",0,429,Parking429.html
-122.539340322797486,37.832558487084619,Restroom,Restroom,Fort Cronkhite,Marin,,,,-122.53934032300,37.83255848710,from O:\gis_projects\_Parkwide\Website\Web_Team\Park_locations\NAD83_UTM10\GGNRABuildings_pts_201111.shp,0,430,Restroom430.html
-122.526627307604045,37.832639052850126,Parking Lot,Parking Lot,Rodeo Lagoon/Valley,Marin,,,,-122.52662730800,37.83263905290,"Jill Harley, 2/15/2012",0,431,ParkingL431.html
-122.526825000173446,37.83273299962832,Building T1111 - Miwok Trail,Restoration Site,Rodeo Lagoon/Valley,Marin,,,,-122.52682500000,37.83273299960,HRT work locations,113,432,Building432.html
-122.526701886582586,37.832978835604891,Portable Restroom,Restroom,Rodeo Lagoon/Valley,Marin,,,,-122.52670188700,37.83297883560,"Jill Harley, 2/15/2012",0,433,Portable433.html
-122.534364457553508,37.833027599544259,Park Intern Housing,Building,Fort Cronkhite,Marin,,,,-122.53436445800,37.83302759950,"Monica Stafford, 2/15/2012",0,434,ParkInte434.html
-122.534104486932392,37.833075667408238,Marin Headlands Native Plant Nursery,Building,Fort Cronkhite,Marin,,,,-122.53410448700,37.83307566740,"added by M. Norelli, test data",0,435,MarinHea435.html
-122.480249060145866,37.833223487174273,Parking,Parking Lot,Fort Baker,Marin,,,,-122.48024906000,37.83322348720,from O:\gis_projects\_Parkwide\park_locations_2011\NAD83_UTM10\GGNRAParking_pts_201111.shp,0,436,Parking436.html
-122.476740690630166,37.834030495611081,Parking,Parking Lot,Fort Baker,Marin,,,,-122.47674069100,37.83403049560,"from M. Norelli, 2/15/2012",0,437,Parking437.html
-122.477918548002449,37.834036795362024,US Coast Guard Station,Building,Fort Baker,Marin,,,,-122.47791854800,37.83403679540,"M. Norelli, 2/16/2012",0,438,USCoastG438.html
-122.474262648302485,37.834061006910169,Travis Sailing Center (Presidio Yacht Club),Building,Fort Baker,Marin,,http://presidioyachtclub.org/lessonsnew.htm,,-122.47426264800,37.83406100690,"Updated Sara Solomon, 4/17/2013",0,439,Presidio439.html
-122.480302250548277,37.834591698648097,Parking Lot,Parking Lot,Fort Baker,Marin,,,,-122.48030225100,37.83459169860,from O:\gis_projects\_Parkwide\park_locations_2011\NAD83_UTM10\GGNRAParking_pts_201111.shp,0,440,ParkingL440.html
-122.533620611202053,37.834608541151397,"Parking Lot, Fort Cronkhite Maintenance",Parking Lot,Fort Cronkhite,Marin,,,,-122.53362061100,37.83460854120,from O:\gis_projects\_Parkwide\park_locations_2011\NAD83_UTM10\GGNRAParking_pts_201111.shp,0,441,ParkingL441.html
-122.476230157195872,37.834933746795137,Parking,Parking Lot,Fort Baker,Marin,,,,-122.47623015700,37.83493374680,"from M. Norelli, 2/15/2012",0,442,Parking442.html
-122.531820609133646,37.834987905767385,"Parking Lot, Marine Mammal Center",Parking Lot,Fort Cronkhite,Marin,,,,-122.53182060900,37.83498790580,from O:\gis_projects\_Parkwide\park_locations_2011\NAD83_UTM10\GGNRAParking_pts_201111.shp,0,443,ParkingL443.html
-122.475208244065044,37.835175181489603,Restroom,Restroom,Fort Baker,Marin,,,,-122.47520824400,37.83517518150,from O:\gis_projects\_Parkwide\Website\Web_Team\Park_locations\NAD83_UTM10\GGNRABuildings_pts_201111.shp,0,444,Restroom444.html
-122.530953720237818,37.835250096814647,The Marine Mammal Center,Site of Interest,Fort Cronkhite,Marin,,http://www.tmmc.org/,,-122.53095372000,37.83525009680,"Updated Sara Solomon, 4/17/2013",0,445,MarineMa445.html
-122.521935000399807,37.835886000238887,Rodeo Lagoon/Valley,Park,Rodeo Lagoon/Valley,Marin,,http://www.parksconservancy.org/visit/park-sites/rodeo-lagoon-valley.html,,-122.52193500000,37.83588600020,"Harvested from the GGNPC website, 10/14/2011",9999,446,RodeoLag446.html
-122.542981670567499,37.836015136589388,"Parking Lot, Townsley Reserve Parking",Parking Lot,Rodeo Lagoon/Valley,Marin,,,,-122.54298167100,37.83601513660,from O:\gis_projects\_Parkwide\park_locations_2011\NAD83_UTM10\GGNRAParking_pts_201111.shp,0,447,ParkingL447.html
-122.474551287511702,37.836102083044842,Parking,Parking Lot,Fort Baker,Marin,,,,-122.47455128800,37.83610208300,"from M. Norelli, 2/15/2012",0,448,Parking448.html
-122.478921999850229,37.836336000306304,Fort Baker,Park,Fort Baker,Marin,,http://www.parksconservancy.org/visit/park-sites/fort-baker.html,"Bunker Road, Sausalito, CA 94965",-122.47892200000,37.83633600030,"Harvested from the GGNPC website, 10/14/2011",9999,449,FortBake449.html
-122.543478154792879,37.836520494425407,Battery Townsley,Site of Interest,Rodeo Lagoon/Valley,Marin,,,,-122.54347815500,37.83652049440,"Mike Hsu, 2/14/2012",0,450,BatteryT450.html
-122.502418999736832,37.836548000190291,Capehart Quarry #1,Restoration Site,Marin Headlands,Marin,,,,-122.50241900000,37.83654800020,HRT work locations,102,451,Capehart451.html
-122.479530000009291,37.836903000373319,Fort Baker Drop in Location,Meeting Place,Fort Baker,Marin,,,,-122.47953000000,37.83690300040,All Maria and Galena sites,54,452,FortBake452.html
-122.500612286927364,37.837128991909537,Park Intern Housing,Site of Interest,Marin Headlands,Marin,,,,-122.50061228700,37.83712899190,"Monica Stafford, 2/15/2012",0,453,ParkInte453.html
-122.479418195393208,37.837575287669537,Cavallo Point - The Lodge at Golden Gate,Cafe,Fort Baker,Marin,,http://www.cavallopoint.com/,,-122.47941819500,37.83757528770,"Updated Sara Solomon, 4/17/2013",0,454,CavalloP454.html
-122.479381895158241,37.837709754301855,Restroom,Restroom,Fort Baker,Marin,,,,-122.47938189500,37.83770975430,"M. Norelli, 2/14/2012",0,455,Restroom455.html
-122.49871799993555,37.837886999885306,Capehart Quarry #2,Restoration Site,Marin Headlands,Marin,,,,-122.49871800000,37.83788699990,HRT work locations,118,456,Capehart456.html
-122.481703971660778,37.837932031638111,Institute at the Golden Gate,Building,Fort Baker,Marin,,,,-122.48170397200,37.83793203160,"Mike Hsu, 2/14/2012",0,457,Institut457.html
-122.47864689723643,37.838382047893411,Mission Blue Chapel,Site of Interest,Fort Baker,Marin,,,,-122.47864689700,37.83838204790,"M. Norelli, 2/14/2012",0,458,MissionB458.html
-122.485641000331668,37.83917199978805,Wolf Back Ridge meeting location,Meeting Place,Fort Baker,Marin,,,,-122.48564100000,37.83917199980,Park Stewardship Restoration Sites and Meeting Locations,136,459,WolfBack459.html
-122.485610999847623,37.839213999926272,Wolfback Ridge Parking,Parking Lot,Fort Baker,Marin,,,,-122.48561100000,37.83921399990,All Maria and Galena sites,60,460,Wolfback460.html
-122.532528405261516,37.842108645997378,Helipad and Heliparking,Parking Lot,Rodeo Lagoon/Valley,Marin,,,,-122.53252840500,37.84210864600,from O:\gis_projects\_Parkwide\park_locations_2011\NAD83_UTM10\GGNRAParking_pts_201111.shp,0,461,Helipada461.html
-122.482390999744709,37.842850000327388,WOLFBACK RIDGE,Restoration Site,Fort Baker,Marin,,,,-122.48239100000,37.84285000030,Park Stewardship Restoration Sites and Meeting Locations,151,462,WOLFBACK462.html
-122.477246052063478,37.843561694117049,Marin Water Treatment Plant,Site of Interest,Fort Baker,Marin,,,,-122.47724605200,37.84356169410,"M. Norelli, 2/16/2012",0,463,MarinWat463.html
-122.513882999600568,37.845792000200774,Gerbode Valley,Park,Gerbode Valley,Marin,,http://www.parksconservancy.org/visit/park-sites/gerbode-valley.html,"Bunker Road, Sausalito, CA 94965",-122.51388300000,37.84579200020,"Harvested from the GGNPC website, 10/14/2011",9999,464,GerbodeV464.html
-122.537783874226207,37.851294841184121,Tennessee Valley Native Plant Nursery,Building,Tennessee Valley,Marin,,,,-122.53778387400,37.85129484120,O:\gis_projects\_Parkwide\nurseries\data\Nurseries_lonlat.shp,0,465,Tennesse465.html
-122.53783639103645,37.851558658205683,NPS Horse Stable,Building,Tennessee Valley,Marin,,,,-122.53783639100,37.85155865820,"Jill Harley, 2/15/2012",0,466,NPSHorse466.html
-122.562023799558531,37.852038583214224,Pirate's Cove Beach,Beach,Tennessee Valley,Marin,,,,-122.56202380000,37.85203858320,"Ally Gregg-Zellars, 1/3/12",0,467,PiratesC467.html
-122.520727520258731,37.854197529892261,Portable Restroom,Restroom,Gerbode Valley,Marin,,,,-122.52072752000,37.85419752990,"Jill Harley, 2/15/2012",0,468,Portable468.html
-122.520486607171037,37.854239423910407,Hawk Camp Campground,Campground,Gerbode Valley,Marin,,,,-122.52048660700,37.85423942390,from O:\gis_libraries\data_library\infrastructure\campgrounds.shp,0,469,HawkCamp469.html
-122.533871656051943,37.859795547926367,Miwok Stables,Site of Interest,Tennessee Valley,Marin,,http://www.miwokstablescenter.org/,,-122.53387165600,37.85979554790,"Updated Sara Solomon, 4/17/2013",0,470,MiwokSta470.html
-122.576691000189385,37.859878999616306,Muir Beach,Beach,Muir Beach,Marin,,,,-122.57669100000,37.85987899960,2011 Junior Rangers,192,471,MuirBeac471.html
-122.534643393977333,37.86018833222586,"Parking Lot, Miwok Stable Parking Area",Parking Lot,Tennessee Valley,Marin,,,,-122.53464339400,37.86018833220,from O:\gis_projects\_Parkwide\park_locations_2011\NAD83_UTM10\GGNRAParking_pts_201111.shp,0,472,ParkingL472.html
-122.574760000173725,37.860328999683716,MUIR BEACH,Restoration Site,Muir Beach,Marin,,,,-122.57476000000,37.86032899970,Park Stewardship Restoration Sites and Meeting Locations,147,473,MUIRBEAC473.html
-122.536209954525631,37.860372124873805,Restroom,Restroom,Tennessee Valley,Marin,,,,-122.53620995500,37.86037212490,"Monica Stafford, 2/15/2012",0,474,Restroom474.html
-122.536160999930047,37.860485999729313,Tennessee Valley,Park,Tennessee Valley,Marin,,http://www.parksconservancy.org/visit/park-sites/tennessee-valley.html,"Tennessee Valley Road, Sausalito, CA 94965",-122.53616100000,37.86048599970,"Harvested from the GGNPC website, 10/14/2011",9999,475,Tennesse475.html
-122.535906875801459,37.860640629161857,"Parking Lot, Tennessee Valley",Parking Lot,Tennessee Valley,Marin,,,,-122.53590687600,37.86064062920,from O:\gis_projects\_Parkwide\park_locations_2011\NAD83_UTM10\GGNRAParking_pts_201111.shp,0,476,ParkingL476.html
-122.535950000092285,37.860743999935849,Tennessee Valley Meeting Location,Meeting Place,Tennessee Valley,Marin,Volunteers can park near the tennis courts  Look for the steep gravel road leading to Eastwood Park.  Your project leaders will meet you there,"http://cbk0.google.com/cbk?output=thumbnail&amp;w=90&amp;h=68&amp;ll=37.882511,-122.545812&amp;thumb=0",,-122.53595000000,37.86074399990,http://maps.google.com/maps/ms?msid=203285277320039340250.0004a792529e0d074ef20&msa=0,0,477,Tennesse477.html
-122.535828043029568,37.860760342416029,Tennessee Valley,Trailhead,Tennessee Valley,Marin,,,,-122.53582804300,37.86076034240,from Trails_pts_100ft_20111121,0,478,Tennesse478.html
-122.57535734066856,37.860789050574347,Marin Volunteer Stewardship Program,Meeting Place,Muir Beach,Marin,picnic tables at Muir Beach parking area,,,-122.57535734100,37.86078905060,"Ally Gregg-Zellars, 1/3/12",0,479,MarinVol479.html
-122.546297805499208,37.860864642189647,Haypress Campground,Campground,Tennessee Valley,Marin,,,,-122.54629780500,37.86086464220,from O:\gis_libraries\data_library\infrastructure\campgrounds.shp,0,480,Haypress480.html
-122.574745022864306,37.860938885721147,Muir Beach Restrooms,Restroom,Muir Beach,Marin,,,,-122.57474502300,37.86093888570,"Ally Gregg-Zellars, 1/3/12",0,481,MuirBeac481.html
-122.575471999732798,37.861010999657992,Muir Beach,Park,Muir Beach,Marin,,http://www.parksconservancy.org/visit/park-sites/muir-beach.html,"Highway 1, Mill Valley, CA 94965",-122.57547200000,37.86101099970,"Harvested from the GGNPC website, 10/14/2011",9999,482,MuirBeac482.html
-122.575673568380324,37.86111729952389,Muir Beach parking lot,Parking Lot,Muir Beach,Marin,,,,-122.57567356800,37.86111729950,Park Stewardship Restoration Sites and Meeting Locations,137,483,MuirBeac483.html
-122.578529000412956,37.861930999815932,Muir Beach Community Center,Meeting Place,Muir Beach,Marin,,,,-122.57852900000,37.86193099980,Park Stewardship Restoration Sites and Meeting Locations,179,484,MuirBeac484.html
-122.585600876878786,37.862859647854663,Muir Beach Overlook Trail,Trailhead,Muir Beach,Marin,,,,-122.58560087700,37.86285964790,from Trails_pts_100ft_20111121,0,485,MuirBeac485.html
-122.585585577612136,37.863079177761975,"Parking Lot, Muir Beach Overlook",Parking Lot,Muir Beach,Marin,,,,-122.58558557800,37.86307917780,from O:\gis_projects\_Parkwide\park_locations_2011\NAD83_UTM10\GGNRAParking_pts_201111.shp,0,486,ParkingL486.html
-122.58540044047777,37.863167019042898,Restroom,Restroom,Muir Beach,Marin,,,,-122.58540044000,37.86316701900,from O:\gis_projects\_Parkwide\Website\Web_Team\Park_locations\NAD83_UTM10\GGNRABuildings_pts_201111.shp,0,487,Restroom487.html
-122.585625000293362,37.863173999580553,Muir Beach Overlook,Meeting Place,Muir Beach,Marin,,,,-122.58562500000,37.86317399960,All Maria and Galena sites,67,488,MuirBeac488.html
-122.517771999977683,37.86431700012961,Oakwood Valley,Park,Oakwood Valley,Marin,,http://www.parksconservancy.org/visit/park-sites/oakwood-valley.html,,-122.51777200000,37.86431700010,"Harvested from the GGNPC website, 10/14/2011",9999,489,OakwoodV489.html
